"OFFENSE_TYPE_ID","OFFENSE_CODE","OFFENSE_NAME","CRIME_AGAINST","CT_FLAG","HC_FLAG","HC_CODE","OFFENSE_CATEGORY_NAME","OFFENSE_GROUP"
58,"23*","Not Specified","Property","N","Y","06","Larceny/Theft Offenses","A"
1,"09C","Justifiable Homicide","Person","N","N","","Homicide Offenses","A"
2,"26A","False Pretenses/Swindle/Confidence Game","Property","Y","Y","","Fraud Offenses","A"
3,"36B","Statutory Rape","Person","N","Y","","Sex Offenses","A"
4,"11C","Sexual Assault With An Object","Person","N","Y","02","Sex Offenses","A"
5,"290","Destruction/Damage/Vandalism of Property","Property","N","Y","11","Destruction/Damage/Vandalism of Property","A"
6,"90F","Family Offenses, Nonviolent","Person","N","N","","","B"
7,"23G","Theft of Motor Vehicle Parts or Accessories","Property","N","N","","Larceny/Theft Offenses","A"
8,"370","Pornography/Obscene Material","Society","N","Y","","Pornography/Obscene Material","A"
9,"39D","Sports Tampering","Society","N","Y","","Gambling Offenses","A"
10,"90D","Driving Under the Influence","Society","N","N","","","B"
11,"250","Counterfeiting/Forgery","Property","N","Y","","Counterfeiting/Forgery","A"
12,"26D","Welfare Fraud","Property","N","Y","","Fraud Offenses","A"
13,"23A","Pocket-picking","Property","N","N","","Larceny/Theft Offenses","A"
14,"23F","Theft From Motor Vehicle","Property","Y","N","","Larceny/Theft Offenses","A"
15,"40B","Assisting or Promoting Prostitution","Society","N","Y","","Prostitution Offenses","A"
16,"35A","Drug/Narcotic Violations","Society","N","Y","","Drug/Narcotic Offenses","A"
17,"26E","Wire Fraud","Property","Y","Y","","Fraud Offenses","A"
18,"23B","Purse-snatching","Property","N","N","","Larceny/Theft Offenses","A"
19,"90I","Runaway","Not a Crime","N","N","","",""
20,"200","Arson","Property","N","Y","08","Arson","A"
21,"240","Motor Vehicle Theft","Property","Y","Y","07","Motor Vehicle Theft","A"
22,"90E","Drunkenness","Society","N","N","","","B"
23,"23C","Shoplifting","Property","N","N","","Larceny/Theft Offenses","A"
24,"39B","Operating/Promoting/Assisting Gambling","Society","N","Y","","Gambling Offenses","A"
25,"90A","Bad Checks","Property","N","N","","","B"
26,"210","Extortion/Blackmail","Property","Y","Y","","Extortion/Blackmail","A"
27,"13A","Aggravated Assault","Person","N","Y","04","Assault Offenses","A"
28,"280","Stolen Property Offenses","Property","N","Y","","Stolen Property Offenses","A"
29,"100","Kidnapping/Abduction","Person","N","Y","","Kidnapping/Abduction","A"
30,"40A","Prostitution","Society","N","Y","","Prostitution Offenses","A"
31,"39A","Betting/Wagering","Society","N","Y","","Gambling Offenses","A"
32,"09A","Murder and Nonnegligent Manslaughter","Person","N","Y","01","Homicide Offenses","A"
33,"90H","Peeping Tom","Person","N","N","","","B"
34,"90J","Trespass of Real Property","Society","N","N","","","B"
35,"35B","Drug Equipment Violations","Society","N","Y","","Drug/Narcotic Offenses","A"
36,"11A","Rape","Person","N","Y","02","Sex Offenses","A"
37,"270","Embezzlement","Property","Y","Y","","Embezzlement","A"
38,"09B","Negligent Manslaughter","Person","N","Y","","Homicide Offenses","A"
39,"520","Weapon Law Violations","Society","N","Y","","Weapon Law Violations","A"
40,"120","Robbery","Property","Y","Y","03","Robbery","A"
41,"26B","Credit Card/Automated Teller Machine Fraud","Property","Y","Y","","Fraud Offenses","A"
42,"90B","Curfew/Loitering/Vagrancy Violations","Society","N","N","","","B"
43,"11B","Sodomy","Person","N","Y","02","Sex Offenses","A"
44,"13C","Intimidation","Person","N","Y","10","Assault Offenses","A"
45,"23H","All Other Larceny","Property","Y","N","","Larceny/Theft Offenses","A"
46,"26C","Impersonation","Property","Y","Y","","Fraud Offenses","A"
47,"23D","Theft From Building","Property","Y","N","","Larceny/Theft Offenses","A"
48,"90Z","All Other Offenses","Society","N","N","","","B"
49,"220","Burglary/Breaking & Entering","Property","Y","Y","05","Burglary/Breaking & Entering","A"
50,"23E","Theft From Coin-Operated Machine or Device","Property","N","N","","Larceny/Theft Offenses","A"
51,"13B","Simple Assault","Person","N","Y","09","Assault Offenses","A"
52,"90G","Liquor Law Violations","Society","N","N","","","B"
53,"90C","Disorderly Conduct","Society","N","N","","","B"
54,"39C","Gambling Equipment Violation","Society","N","Y","","Gambling Offenses","A"
55,"36A","Incest","Person","N","Y","","Sex Offenses","A"
56,"11D","Fondling","Person","N","Y","02","Sex Offenses","A"
57,"510","Bribery","Property","Y","Y","","Bribery","A"
59,"64A","Human Trafficking, Commercial Sex Acts","Person","N","Y","12","Human Trafficking","A"
60,"64B","Human Trafficking, Involuntary Servitude","Person","N","Y","13","Human Trafficking","A"
61,"40C","Purchasing Prostitution","Society","N","Y","","Prostitution Offenses","A"
63,"26F","Identity Theft","Property","N","Y","","Fraud Offenses","A"
64,"26G","Hacking/Computer Invasion","Property","N","Y","","Fraud Offenses","A"
62,"720","Animal Cruelty","Society","N","N","","Animal Cruelty","A"
