"ACTIVITY_TYPE_ID","ACTIVITY_TYPE_CODE","ACTIVITY_TYPE_NAME"
1,"01","Responding to Disturbance Call"
2,"02","Burglaries in Progress or Pursuing Burglary Suspects"
3,"03","Robberies in Progress or Pusuing Robbery Suspects"
4,"04","Attempting Other Arrests"
5,"05","Civil Disorder"
6,"06","Handling, Transporting, Custody of Prisoners"
7,"07","Investigating Suspicious Persons or Circumstances"
8,"08","Ambush - No Warning"
9,"09","Handling Persons with Mental Illness"
10,"10","Traffic Pursuits and Stops"
11,"11","All Other"
