"CIRCUMSTANCES_ID","CIRCUMSTANCES_TYPE","CIRCUMSTANCES_CODE","CIRCUMSTANCES_NAME"
1,"A",1,"Argument"
2,"A",2,"Assault on Law Enforcement Officer"
3,"A",3,"Drug Dealing"
4,"A",4,"Gangland"
5,"A",5,"Juvenile Gang"
6,"A",6,"Domestic Violence"
7,"A",7,"Mercy Killing"
8,"A",8,"Other Felony Involved"
9,"A",9,"Other Circumstances"
10,"A",10,"Unknown Circumstances"
11,"J",20,"Criminal Killed by Private Citizen"
12,"J",21,"Criminal Killed by Police Officer"
13,"N",30,"Child Playing With Weapon"
14,"N",31,"Gun-Cleaning Accident"
15,"N",32,"Hunting Accident"
16,"N",33,"Other Negligent Weapon Handling"
17,"N",34,"Other Negligent Killings"
