"LOCATION_ID","LOCATION_CODE","LOCATION_NAME"
1,"01","Air/Bus/Train Terminal"
2,"02","Bank/Savings and Loan"
3,"03","Bar/Nightclub"
4,"04","Church/Synagogue/Temple/Mosque"
5,"05","Commercial/Office Building"
6,"06","Construction Site"
7,"07","Convenience Store"
8,"08","Department/Discount Store"
10,"10","Field/Woods"
11,"11","Government/Public Building"
12,"12","Grocery/Supermarket"
13,"13","Highway/Road/Alley/Street/Sidewalk"
14,"14","Hotel/Motel/Etc."
15,"15","Jail/Prison/Penitentiary/Corrections Facility"
16,"16","Lake/Waterway/Beach"
17,"17","Liquor Store"
18,"18","Parking/Drop Lot/Garage"
19,"19","Rental Storage Facility"
20,"20","Residence/Home"
21,"21","Restaurant"
22,"22","School/College"
23,"23","Service/Gas Station"
24,"24","Specialty Store"
25,"25","Other/Unknown"
26,"37","Abandoned/Condemned Structure"
27,"38","Amusement Park"
28,"39","Arena/Stadium/Fairgrounds/Coliseum"
29,"40","ATM Separate from Bank"
30,"41","Auto Dealership New/Used"
31,"42","Camp/Campground"
32,"44","Daycare Facility"
33,"45","Dock/Wharf/Freight/Modal Terminal"
34,"46","Farm Facility"
35,"47","Gambling Facility/Casino/Race Track"
36,"48","Industrial Site"
37,"49","Military Installation"
38,"50","Park/Playground"
39,"51","Rest Area"
40,"52","School-College/University"
41,"53","School-Elementary/Secondary"
42,"54","Shelter-Mission/Homeless"
43,"55","Shopping Mall"
44,"56","Tribal Lands"
45,"57","Community Center"
46,"09","Drug Store/Doctor's Office/Hospital"
47,"58","Cyberspace"
0,"00","Not Specified"
